time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.040000000000002811e-03 9.999999908184982189e-01 1.355101583487440650e-04 0.000000000000000000e+00 -1.355101583487440650e-04 9.999999908184982189e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.013600000000001305e-02 9.999999914309888327e-01 1.309122678380964921e-04 0.000000000000000000e+00 -1.309122678380964921e-04 9.999999914309888327e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.513600000000002617e-02 9.999999936329737604e-01 1.128452573305110880e-04 0.000000000000000000e+00 -1.128452573305110880e-04 9.999999936329737604e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.013600000000000112e-02 9.999999961316953234e-01 8.795799606279513605e-05 0.000000000000000000e+00 -8.795799606279513605e-05 9.999999961316953234e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.513599999999997087e-02 9.999999984086302973e-01 5.641577089816174730e-05 0.000000000000000000e+00 -5.641577089816174730e-05 9.999999984086302973e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.013599999999994061e-02 9.999999998376153387e-01 1.802135376768829945e-05 0.000000000000000000e+00 -1.802135376768829945e-05 9.999999998376153387e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.513599999999991036e-02 9.999999996234389954e-01 -2.744306600936918580e-05 0.000000000000000000e+00 2.744306600936918580e-05 9.999999996234389954e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.013599999999988011e-02 9.999999968036399345e-01 -7.995448668287294424e-05 0.000000000000000000e+00 7.995448668287294424e-05 9.999999968036399345e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.513599999999984985e-02 9.999999903047972483e-01 -1.392494350764052224e-04 0.000000000000000000e+00 1.392494350764052224e-04 9.999999903047972483e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.013599999999981960e-02 9.999999788902870224e-01 -2.054736604196379926e-04 0.000000000000000000e+00 2.054736604196379926e-04 9.999999788902870224e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.513599999999978934e-02 9.999999613138280674e-01 -2.781588433221323167e-04 0.000000000000000000e+00 2.781588433221323167e-04 9.999999613138280674e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.013599999999975909e-02 9.999999360588396335e-01 -3.576063711024745468e-04 0.000000000000000000e+00 3.576063711024745468e-04 9.999999360588396335e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.513599999999981904e-02 9.999999014130740438e-01 -4.440426125901275113e-04 0.000000000000000000e+00 4.440426125901275113e-04 9.999999014130740438e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.013599999999996226e-02 9.999998554845834775e-01 -5.376158590789554019e-04 0.000000000000000000e+00 5.376158590789554019e-04 9.999998554845834775e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.513600000000010548e-02 9.999997962001588858e-01 -6.384353065143857269e-04 0.000000000000000000e+00 6.384353065143857269e-04 9.999997962001588858e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.013600000000024870e-02 9.999997216982343673e-01 -7.460586127266998543e-04 0.000000000000000000e+00 7.460586127266998543e-04 9.999997216982343673e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
