Knotennummer	X-Position (m)	Y-Position (m)	Z-Position (m)	
230	5,e-002	1,666666667e-002	0,	
231	5,e-002	5,e-002	3,333333333e-002	
232	5,e-002	5,e-002	6,666666667e-002	
233	-5,e-002	5,e-002	0,	
234	1,666666667e-002	5,e-002	0,	
235	-1,666666667e-002	5,e-002	0,	
236	-5,e-002	-5,e-002	0,	
237	-1,666666667e-002	-5,e-002	0,	
238	1,666666667e-002	-5,e-002	0,	
239	-5,e-002	1,666666667e-002	0,	
240	-5,e-002	-1,666666667e-002	0,	
241	-5,e-002	5,e-002	3,333333333e-002	
242	-5,e-002	5,e-002	6,666666667e-002	
243	-5,e-002	-5,e-002	3,333333333e-002	
244	-5,e-002	-5,e-002	6,666666667e-002	
245	-1,660760892e-003	5,e-002	5,444838206e-002	
246	1,660760892e-003	-5,e-002	5,444838206e-002	
247	-5,e-002	1,6607584e-003	5,444838327e-002	
248	5,e-002	1,660760892e-003	5,444838206e-002	
249	-5,213068172e-011	5,e-002	0,2543677387	
250	-5,103964473e-011	5,e-002	0,3238766209	
251	-1,274042677e-011	5,e-002	0,3934603853	
252	-5,08837833e-011	5,e-002	0,4538064612	
253	-5,556193006e-011	5,e-002	0,1882905766	
254	8,278423086e-011	-5,e-002	0,4397222236	
255	5,454319635e-011	-5,e-002	0,3622596707	
256	9,995015926e-011	-5,e-002	0,2924699585	
257	7,450580569e-010	-5,e-002	0,237499997	
258	9,313225885e-011	-5,e-002	0,1871874996	
259	5,e-002	8,278422392e-011	0,4397222236	
260	5,e-002	5,454319635e-011	0,3622596707	
261	5,e-002	9,995015926e-011	0,2924699585	
262	5,e-002	7,450580569e-010	0,237499997	
263	5,e-002	9,313200905e-011	0,1871874996	
264	-5,e-002	-5,213064702e-011	0,2543677387	
265	-5,e-002	-5,103963779e-011	0,3238766209	
266	-5,e-002	-1,274042677e-011	0,3934603853	
267	-5,e-002	-5,08837833e-011	0,4538064612	
268	-5,e-002	-5,556168026e-011	0,1882905766	
269	0,	0,	0,	
270	0,	0,	0,5	
311	1,890845092e-002	-1,818912946e-002	0,1271318969	
312	2,22609866e-002	-2,184360037e-002	8,169856381e-002	
313	2,333242472e-002	-2,430712764e-002	0,1661589295	
314	-1,836236301e-002	8,333333333e-003	0,1083333333	
315	-1,179937583e-002	-1,454708663e-002	5,376359109e-002	
316	-2,233164089e-002	-2,952055094e-002	0,1279654527	
317	8,432764938e-003	-7,404818062e-003	0,2168145915	
318	2,145484427e-002	1,873882732e-002	8,438430614e-002	
319	-1,152643562e-002	1,834102369e-002	0,1546584195	
320	-1,809712122e-002	-2,407102379e-002	0,1671970315	
321	2,328141564e-002	-2,234346388e-002	3,068427832e-002	
322	-2,391252493e-002	1,8798441e-002	2,500407148e-002	
323	1,81338583e-002	2,269629988e-002	3,201264546e-002	
324	-8,720684689e-003	-1,012988742e-002	0,3365950947	
325	1,666666671e-002	7,200810573e-003	0,3989939648	
326	3,429077398e-004	-1,440346587e-002	0,4679980016	
327	-2,23058803e-002	1,875113049e-002	0,4795357379	
328	2,25601684e-002	2,460541612e-002	0,1221498566	
329	2,083333332e-002	9,345261367e-003	0,1563817628	
330	2,333386435e-006	-9,476657941e-004	0,275300018	
331	1,811278887e-002	2,20376678e-002	0,4795239558	
