#Exudyn implicit second order time integration solver solution file
#simulation started=2019-12-18,12:04:31
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations, AE coordinates, ODE2 velocities
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [5,0,4,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [5,5,5,0,0,4,0]
#total columns exported  (excl. time) = 19
#number of time steps (planned) = 620
#
#solution information = Rigid pendulum with switching constraints
0.21,-0.1662664231,0.3723195835,0.8399944146,-0.1251517072,0.3973594188,-1.489262064,1.334918983,3.999955093,-0.778929727,1.842276498,1.1342853,-1.267904958,10.14550929,0,0,-13.6114236,15.2148595,0,0
0.22,-0.1814220016,0.3853673909,0.8799939363,-0.1329410045,0.4157821838,-1.541452715,1.274297321,3.999955067,-0.778929727,1.842276498,1.199943214,-1.32442242,10.61221021,0,0,-14.39931857,15.89306904,0,0
0.23,-0.1970872245,0.3977987074,0.9199934579,-0.1407303017,0.4342049488,-1.591177428,1.211637104,3.999955039,-0.778929727,1.842276498,1.269471222,-1.379588029,11.07466648,0,0,-15.23365467,16.55505634,0,0
0.24,-0.2132370313,0.4095936461,0.9599929795,-0.148519599,0.4526277138,-1.638356657,1.147038573,3.999955011,-0.778929727,1.842276498,1.342938264,-1.433235114,11.53269312,0,0,-16.11525917,17.19882137,0,0
0.25,-0.2298455864,0.420733338,0.9999925011,-0.1563088963,0.4710504787,-1.682914926,1.08060507,3.999954982,-0.778929727,1.842276498,1.420407324,-1.485185825,11.98610695,0,0,-17.04488788,17.8222299,0,0
0.26,-0.2468863203,0.4311999624,1.039992023,-0.1640981936,0.4894732437,-1.724780953,1.012442871,3.999954951,-0.778929727,1.842276498,1.501934454,-1.535251315,12.43472661,0,0,-18.02321345,18.42301579,0,0
0.27,-0.264331972,0.4409767754,1.079991544,-0.1718874908,0.5078960087,-1.763887764,0.9426610193,3.99995492,-0.778929727,1.842276498,1.587567802,-1.583231992,12.87837265,0,0,-19.05081362,18.99878391,0,0
0.28,-0.2821546331,0.4500481365,1.119991066,-0.1796767881,0.5263187737,-1.800172796,0.8713711478,3.999954887,-0.778929727,1.842276498,1.677346646,-1.628917844,13.31686763,0,0,-20.12815975,19.54701413,0,0
0.29,-0.3003257915,0.4583995338,1.159990588,-0.1874660854,0.5447415387,-1.833578005,0.7986873026,3.999954853,-0.778929727,1.842276498,1.771300446,-1.672088834,13.75003617,0,0,-21.25560535,20.065066,0,0
0.3,-0.318816495,0.4660177143,1.199989223,-0.1952553826,0.5631643036,-1.86451731,0.7251538886,3.996410392,-0.778929727,1.842276498,0,0,0,0,0,0,0,0,0
0.31,-0.3374616681,0.4732692532,1.239953327,-0.2030446799,0.5815870686,-1.86451731,0.7251538886,3.996410392,-0.778929727,1.842276498,0,0,0,0,0,0,0,0,0
#simulation finished=2019-12-18,12:04:31
#Solver Info: stepReductionFailed(or step failed)=0,discontinuousIterationsFailed=0,newtonSolutionDiverged=0,massMatrixNotInvertible=0,total time steps=620,total Newton iterations=1073,total Newton jacobians=1073
