time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.045185536000001102e-03 9.999999200684341893e-01 -3.998288699047300855e-04 0.000000000000000000e+00 3.998288699047300855e-04 9.999999200684341893e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.002813948395520245e-02 9.999987523547074764e-01 -1.579648387499865431e-03 0.000000000000000000e+00 1.579648387499865431e-03 9.999987523547074764e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.513296441098240658e-02 9.999935299843230041e-01 -3.597219689235429171e-03 0.000000000000000000e+00 3.597219689235429171e-03 9.999935299843230041e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.013296441098237979e-02 9.999797306792782559e-01 -6.366964001645141619e-03 0.000000000000000000e+00 6.366964001645141619e-03 9.999797306792782559e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.513296441098234954e-02 9.999507755286793920e-01 -9.922021950830169426e-03 0.000000000000000000e+00 9.922021950830169426e-03 9.999507755286793920e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.005296441098235724e-02 9.998993643763585126e-01 -1.418665287354129931e-02 0.000000000000000000e+00 1.418665287354129931e-02 9.998993643763585126e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.517296441098232557e-02 9.998111869613302005e-01 -1.943168615886098349e-02 0.000000000000000000e+00 1.943168615886098349e-02 9.998111869613302005e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.017296441098229531e-02 9.996786916439959203e-01 -2.534784947384858059e-02 0.000000000000000000e+00 2.534784947384858059e-02 9.996786916439959203e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.500953657098231281e-02 9.994937194133951541e-01 -3.181673856915111231e-02 0.000000000000000000e+00 3.181673856915111231e-02 9.994937194133951541e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
