time torque_Nm angle_arcmin
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000048e-04 3.200000000000000000e+01 5.903884543484422265e-03
2.000000000000000096e-04 6.400000000000000000e+01 4.660908727910927779e-02
3.000000000000001363e-04 9.600000000000004263e+01 1.572031095163045344e-01
4.002102293708804893e-04 1.280672733986817491e+02 3.529346295034740399e-01
5.010626131184136049e-04 1.603400361978923456e+02 5.171205075800107132e-01
6.020001752724530144e-04 1.926400560871849450e+02 5.791206710850013151e-01
7.020331819027860387e-04 2.246506182088915295e+02 6.372259657389849341e-01
8.033382845711937699e-04 2.570682510627819966e+02 6.974162294473544854e-01
9.054205222737691421e-04 2.897345671276061125e+02 7.575612033008818358e-01
1.000861586012921156e-03 3.202757075241347593e+02 8.141343994065934897e-01
1.101002762438723498e-03 3.523208839803914998e+02 8.620853989743869628e-01
1.200453310061589448e-03 3.841450592197086280e+02 9.001047597972681169e-01
1.304876385065599151e-03 4.175604432209917718e+02 9.370889220405890230e-01
1.404766494590172637e-03 4.495252782688551747e+02 9.716575031209309099e-01
1.504766494590172900e-03 4.815252782688553452e+02 1.005634537061584233e+00
1.604766494590173162e-03 5.135252782688554589e+02 1.038353773919740597e+00
1.704766494590173424e-03 5.455252782688554589e+02 1.070614146663078747e+00
1.804766494590173687e-03 5.775252782688555726e+02 1.102545606513761989e+00
1.901226590078172523e-03 6.083925088250151703e+02 1.129156788487515328e+00
2.000955730691292202e-03 6.403058338212135823e+02 1.157168685898404048e+00
2.101148727772378117e-03 6.723675928871609813e+02 1.188545704254206248e+00
2.201341724853468369e-03 7.044293519531098582e+02 1.222128759420779920e+00
2.303538581876180425e-03 7.371323462003776967e+02 1.257124236107630022e+00
2.405735438898892482e-03 7.698353404476455353e+02 1.291936983239297954e+00
2.503123032061711252e-03 8.009993702597474794e+02 1.324724850205658777e+00
2.604117573119449011e-03 8.333176233982236454e+02 1.358260150413581835e+00
2.703370972701897839e-03 8.650787112646073638e+02 1.390803955505574008e+00
2.803370972701898101e-03 8.970787112646073638e+02 1.423342651968505068e+00
2.903370972701898364e-03 9.290787112646073638e+02 1.455657336245169686e+00
3.003370972701898626e-03 9.610787112646075911e+02 1.487643952753620491e+00
3.103370972701898888e-03 9.930787112646075911e+02 1.519352306659263352e+00
3.203370972701899150e-03 1.025078711264607591e+03 1.550764201476924287e+00
3.303370972701899413e-03 1.057078711264607819e+03 1.582018460981459373e+00
3.403370972701899675e-03 1.089078711264607819e+03 1.613019532663503952e+00
3.503370972701899937e-03 1.121078711264607819e+03 1.643865228174580473e+00
3.603370972701900200e-03 1.153078711264608046e+03 1.674607181722503224e+00
3.703370972701900462e-03 1.185078711264608046e+03 1.705142420678470661e+00
3.803370972701900724e-03 1.217078711264608046e+03 1.735425149368065911e+00
3.903370972701900986e-03 1.249078711264608273e+03 1.765501382552255860e+00
4.003370972701897346e-03 1.281078711264607136e+03 1.795427881538123049e+00
4.103370972701893271e-03 1.313078711264605772e+03 1.825309686969010858e+00
4.203370972701889197e-03 1.345078711264604635e+03 1.855175573910714748e+00
4.303370972701885122e-03 1.377078711264603044e+03 1.885084496108969443e+00
4.403370972701881048e-03 1.409078711264601907e+03 1.915009512607472431e+00
4.503370972701876973e-03 1.441078711264600543e+03 1.944853561239896056e+00
