time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.937212531409635508e-13,-3.072324283990767643e-09,-5.961229885218218005e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000048e-04,9.791500600365022977e-37,2.574608134789283616e-37,2.007542298777254122e-06,4.541437201578336773e-33,-1.019471722287299656e-33,3.995965147031156628e-02,-1.708068384446114711e-09,-5.469473560382858562e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.493947828701312763e-01,-1.177247560999164882e-07
