#solution of slider crank mechanism in MATLAB
#uses Lagrange equations and ode45 with odeset('RelTol',1e-6,'AbsTol',1e-6);
#2019-12-07
#Johannes Gerstmayr
#theta is crank angle, theta_t is the time derivative of the angle
#solution runs over 3 seconds
#data format (columns): time theta theta_t
0.0000000e+00, 0.0000000e+00, 0.0000000e+00
1.6825529e-04, 1.0616191e-06, 1.2619147e-02
3.3651058e-04, 4.2464765e-06, 2.5238294e-02
5.0476588e-04, 9.5545721e-06, 3.7857441e-02
6.7302117e-04, 1.6985906e-05, 5.0476587e-02
1.5142976e-03, 8.5991143e-05, 1.1357232e-01
2.3555741e-03, 2.0807733e-04, 1.7666802e-01
3.1968505e-03, 3.8324443e-04, 2.3976365e-01
4.0381270e-03, 6.1149230e-04, 3.0285906e-01
7.5811118e-03, 2.1552034e-03, 5.6857009e-01
1.1124097e-02, 4.6403064e-03, 8.3423257e-01
1.4667081e-02, 8.0664161e-03, 1.0997372e+00
1.8210066e-02, 1.2432594e-02, 1.3648832e+00
2.1971797e-02, 1.8095262e-02, 1.6456572e+00
2.5733527e-02, 2.4811996e-02, 1.9251200e+00
2.9495258e-02, 3.2576356e-02, 2.2024996e+00
3.3256988e-02, 4.1378555e-02, 2.4767913e+00
3.6999843e-02, 5.1153072e-02, 2.7454180e+00
4.0742698e-02, 6.1922827e-02, 3.0082998e+00
4.4485553e-02, 7.3663205e-02, 3.2638039e+00
4.8228408e-02, 8.6343283e-02, 3.5101659e+00
5.1971263e-02, 9.9925664e-02, 3.7455471e+00
5.5714117e-02, 1.1436550e-01, 3.9681392e+00
5.9456972e-02, 1.2961187e-01, 4.1763185e+00
6.3199827e-02, 1.4560840e-01, 4.3687186e+00
6.6446281e-02, 1.6004363e-01, 4.5219933e+00
6.9692734e-02, 1.7495516e-01, 4.6621724e+00
7.2939187e-02, 1.9030019e-01, 4.7890725e+00
7.6185641e-02, 2.0603580e-01, 4.9027545e+00
7.9973614e-02, 2.2483315e-01, 5.0190868e+00
8.3761587e-02, 2.4403898e-01, 5.1186491e+00
8.7549561e-02, 2.6359183e-01, 5.2025276e+00
9.1337534e-02, 2.8343484e-01, 5.2720157e+00
9.5176293e-02, 3.0378663e-01, 5.3292346e+00
9.9015052e-02, 3.2433505e-01, 5.3746981e+00
1.0285381e-01, 3.4503790e-01, 5.4099189e+00
1.0669257e-01, 3.6585859e-01, 5.4363451e+00
1.1032496e-01, 3.8564029e-01, 5.4544865e+00
1.1395735e-01, 4.0547745e-01, 5.4670223e+00
1.1758975e-01, 4.2535145e-01, 5.4749007e+00
1.2122214e-01, 4.4524684e-01, 5.4789676e+00
1.2529929e-01, 4.6758843e-01, 5.4799147e+00
1.2937643e-01, 4.8992765e-01, 5.4779114e+00
1.3345358e-01, 5.1225406e-01, 5.4737427e+00
1.3753073e-01, 5.3456015e-01, 5.4680752e+00
1.4242844e-01, 5.6132190e-01, 5.4600686e+00
1.4732614e-01, 5.8804287e-01, 5.4515016e+00
1.5222385e-01, 6.1472188e-01, 5.4430303e+00
1.5712156e-01, 6.4136067e-01, 5.4351861e+00
1.6351938e-01, 6.7610523e-01, 5.4265778e+00
1.6991719e-01, 7.1080259e-01, 5.4204996e+00
1.7631501e-01, 7.4547074e-01, 5.4175379e+00
1.8271283e-01, 7.8013105e-01, 5.4181535e+00
1.9148971e-01, 8.2771196e-01, 5.4254695e+00
2.0026658e-01, 8.7539246e-01, 5.4409558e+00
2.0904346e-01, 9.2324708e-01, 5.4652864e+00
2.1782033e-01, 9.7135631e-01, 5.4990947e+00
2.2787771e-01, 1.0269091e+00, 5.5503060e+00
2.3793508e-01, 1.0830477e+00, 5.6158482e+00
2.4799245e-01, 1.1399223e+00, 5.6969749e+00
2.5804983e-01, 1.1976978e+00, 5.7951911e+00
2.6711732e-01, 1.2507086e+00, 5.8998858e+00
2.7618480e-01, 1.3047436e+00, 6.0215480e+00
2.8525229e-01, 1.3599658e+00, 6.1621573e+00
2.9431978e-01, 1.4165584e+00, 6.3241281e+00
3.0256350e-01, 1.4693723e+00, 6.4923781e+00
3.1080721e-01, 1.5236638e+00, 6.6833522e+00
3.1905093e-01, 1.5796341e+00, 6.9003388e+00
3.2729464e-01, 1.6375148e+00, 7.1473751e+00
3.3440547e-01, 1.6891796e+00, 7.3883521e+00
3.4151629e-01, 1.7426604e+00, 7.6591628e+00
3.4862711e-01, 1.7981862e+00, 7.9645490e+00
3.5573793e-01, 1.8560246e+00, 8.3103374e+00
3.6034325e-01, 1.8948614e+00, 8.5591114e+00
3.6494858e-01, 1.9348937e+00, 8.8300659e+00
3.6955390e-01, 1.9762299e+00, 9.1258696e+00
3.7415922e-01, 2.0189916e+00, 9.4496184e+00
3.7876455e-01, 2.0633158e+00, 9.8048862e+00
3.8336987e-01, 2.1093560e+00, 1.0195797e+01
3.8797519e-01, 2.1572873e+00, 1.0627171e+01
3.9258052e-01, 2.2073094e+00, 1.1104593e+01
3.9639262e-01, 2.2504577e+00, 1.1539140e+01
4.0020472e-01, 2.2953372e+00, 1.2013678e+01
4.0401682e-01, 2.3421086e+00, 1.2532618e+01
4.0782892e-01, 2.3909505e+00, 1.3100639e+01
4.1091325e-01, 2.4321169e+00, 1.3599406e+01
4.1399758e-01, 2.4748796e+00, 1.4135863e+01
4.1708191e-01, 2.5193574e+00, 1.4711908e+01
4.2016624e-01, 2.5656741e+00, 1.5328640e+01
4.2279688e-01, 2.6067255e+00, 1.5886766e+01
4.2542752e-01, 2.6492837e+00, 1.6473231e+01
