time R11 R12 R13 R21 R22 R23 R31 R32 R33
5.200000000000041395e-03 9.999999953382223694e-01 -9.655855753064543638e-05 0.000000000000000000e+00 9.655855753064543638e-05 9.999999953382223694e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.300000000000054667e-03 9.999999957196030742e-01 -9.252455616023918378e-05 0.000000000000000000e+00 9.252455616023918378e-05 9.999999957196030742e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.400000000000067940e-03 9.999999959553502737e-01 -8.994053200678255001e-05 0.000000000000000000e+00 8.994053200678255001e-05 9.999999959553502737e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.500000000000081213e-03 9.999999960549877942e-01 -8.882580827927150720e-05 0.000000000000000000e+00 8.882580827927150720e-05 9.999999960549877942e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.600000000000094486e-03 9.999999960532487409e-01 -8.884538293904089038e-05 0.000000000000000000e+00 8.884538293904089038e-05 9.999999960532487409e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.700000000000107758e-03 9.999999959588460330e-01 -8.990165536050221350e-05 0.000000000000000000e+00 8.990165536050221350e-05 9.999999959588460330e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.800000000000121031e-03 9.999999957844951659e-01 -9.182052829743079755e-05 0.000000000000000000e+00 9.182052829743079755e-05 9.999999957844951659e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.900000000000134304e-03 9.999999955129504903e-01 -9.473171983816891517e-05 0.000000000000000000e+00 9.473171983816891517e-05 9.999999955129504903e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.000000000000147576e-03 9.999999951381453034e-01 -9.860886916671500230e-05 0.000000000000000000e+00 9.860886916671500230e-05 9.999999951381453034e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.100000000000160849e-03 9.999999946596479505e-01 -1.033474908622840317e-04 0.000000000000000000e+00 1.033474908622840317e-04 9.999999946596479505e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
