time torque_Nm angle_arcmin
3.103370972701898888e-03 9.930787112646075911e+02 1.519352306317858892e+00
3.203370972701899150e-03 1.025078711264607591e+03 1.550764201266041864e+00
3.303370972701899413e-03 1.057078711264607819e+03 1.582018460842228080e+00
3.403370972701899675e-03 1.089078711264607819e+03 1.613019532641489118e+00
3.503370972701899937e-03 1.121078711264607819e+03 1.643865228391800715e+00
3.603370972701900200e-03 1.153078711264608046e+03 1.674607182028500896e+00
3.703370972701900462e-03 1.185078711264608046e+03 1.705142420962127314e+00
3.803370972701900724e-03 1.217078711264608046e+03 1.735425149570434256e+00
3.903370972701900986e-03 1.249078711264608273e+03 1.765501382649456330e+00
4.003370972701897346e-03 1.281078711264607136e+03 1.795427881541789450e+00
4.103370972701893271e-03 1.313078711264605772e+03 1.825309686890254079e+00
4.203370972701889197e-03 1.345078711264604635e+03 1.855175573804609845e+00
4.303370972701885122e-03 1.377078711264603044e+03 1.885084495989825193e+00
4.403370972701881048e-03 1.409078711264601907e+03 1.915009512492786614e+00
4.503370972701876973e-03 1.441078711264600543e+03 1.944853561094476824e+00
4.603370972701872899e-03 1.473078711264599406e+03 1.974520806603450085e+00
4.703370972701868824e-03 1.505078711264598041e+03 2.003995903192595573e+00
4.803370972701864750e-03 1.537078711264596677e+03 2.033265922530752778e+00
4.903370972701860675e-03 1.569078711264595313e+03 2.062306421002209511e+00
5.003370972701856600e-03 1.601078711264593949e+03 2.091161957827774920e+00
5.103370972701852526e-03 1.633078711264592812e+03 2.119887778569243153e+00
5.203370972701848451e-03 1.665078711264591448e+03 2.148576720712627175e+00
5.303370972701844377e-03 1.697078711264590083e+03 2.177261862290874816e+00
5.403370972701840302e-03 1.729078711264588719e+03 2.205965199789279296e+00
5.503370972701836228e-03 1.761078711264587582e+03 2.234698464781351479e+00
5.603370972701832153e-03 1.793078711264586218e+03 2.264400136829671784e+00
5.703370972701828079e-03 1.825078711264584854e+03 2.295906755900139373e+00
5.803370972701824004e-03 1.857078711264583490e+03 2.327406894858623065e+00
5.907370972701823930e-03 1.890358711264583690e+03 2.359619730039842711e+00
6.001770972701826225e-03 1.920566711264584455e+03 2.388238371141231831e+00
6.109370972701825588e-03 1.954998711264584017e+03 2.420166954543784055e+00
6.209370972701821513e-03 1.986998711264582653e+03 2.449280212102296073e+00
