#Exudyn implicit second order time integration sensor output file
#measure SuperElement number = 0
#OutputVariableType = Displacement
#simulation started = 2020-06-05,10:54:20
#columns contain: time, comma separated sensor values (e.g, x,y,z position coordinates)
#number of sensor values = 3
#
0,0,0,0
0.0001,4.555636784e-23,4.45868528e-10,4.095612738e-13
0.0002,-4.045269685e-22,1.781830965e-09,1.636857316e-12
0.0003,-1.345920254e-21,4.003050429e-09,3.677835814e-12
0.0004,-2.387558052e-21,7.101600259e-09,6.525835428e-12
0.0005,-3.722630286e-21,1.106649232e-08,1.017147477e-11
0.0006,-5.341055378e-21,1.588371595e-08,1.460292998e-11
0.0007,-7.245317416e-21,2.153628744e-08,1.980593467e-11
0.0008,-9.413764667e-21,2.800430995e-08,2.576355795e-11
0.0009,-1.185662066e-20,3.526504349e-08,3.245631541e-11
0.001,-1.455358997e-20,4.329298491e-08,3.986272423e-11
0.0011,-1.750040992e-20,5.205995743e-08,4.795824848e-11
0.0012,-2.068524054e-20,6.153520958e-08,5.671663139e-11
0.0013,-2.410292242e-20,7.1685523e-08,6.61092292e-11
0.0014,-2.771853287e-20,8.247532899e-08,7.61051222e-11
0.0015,-3.156918492e-20,9.386683303e-08,8.667128126e-11
0.0016,-3.556883451e-20,1.058201473e-07,9.777273435e-11
0.0017,7.312454374e-19,1.182934301e-07,1.093727331e-10
0.0018,-4.410768138e-20,1.312430326e-07,1.214323642e-10
0.0019,-4.859123511e-20,1.446236516e-07,1.33911382e-10
0.002,7.177281431e-19,1.583884877e-07,1.467678201e-10
0.0021,7.130240212e-19,1.72489409e-07,1.599581578e-10
0.0022,-6.28359287e-20,1.8687712e-07,1.734376531e-10
0.0023,-6.771144432e-20,2.015013331e-07,1.871604538e-10
0.0024,6.982652014e-19,2.163109449e-07,2.010793199e-10
0.0025,-7.769524343e-20,2.312542147e-07,2.151465117e-10
0.0026,-8.282304974e-20,2.46278945e-07,2.293133461e-10
0.0027,-8.780011302e-20,2.613326643e-07,2.435305846e-10
0.0028,-9.289083214e-20,2.763628098e-07,2.577486558e-10
0.0029,-9.794695777e-20,2.913169114e-07,2.719175995e-10
0.003,-1.029465798e-19,3.061427746e-07,2.859875115e-10
0.0031,-1.078366513e-19,3.207886626e-07,2.99908709e-10
0.0032,-1.127217869e-19,3.352034771e-07,3.136316207e-10
0.0033,1.424594259e-18,3.493369366e-07,3.271072302e-10
0.0034,-1.220213267e-19,3.631397515e-07,3.402871873e-10
0.0035,-1.265835703e-19,3.76563796e-07,3.531241966e-10
0.0036,-1.309700958e-19,3.895622763e-07,3.655716285e-10
0.0037,-1.351321561e-19,4.020898934e-07,3.775845192e-10
0.0038,6.317630617e-19,4.141030008e-07,3.891191258e-10
0.0039,6.279222606e-19,4.25559757e-07,4.001331488e-10
0.004,6.243080113e-19,4.364202709e-07,4.105864537e-10
0.0041,6.208850842e-19,4.466467409e-07,4.204403492e-10
0.0042,-1.534213425e-19,4.562035862e-07,4.29658753e-10
0.0043,-1.56405779e-19,4.650575709e-07,4.382074148e-10
0.0044,-1.590282236e-19,4.731779195e-07,4.460548597e-10
0.0045,-1.614926842e-19,4.805364235e-07,4.531718334e-10
0.0046,-1.636939382e-19,4.871075401e-07,4.595319125e-10
0.0047,6.053389513e-19,4.928684803e-07,4.651114494e-10
0.0048,6.036092276e-19,4.977992879e-07,4.698897382e-10
0.0049,6.02224517e-19,5.01882909e-07,4.73848849e-10
0.005,6.011654911e-19,5.05105251e-07,4.769741269e-10
0.0051,-1.705559809e-19,5.074552305e-07,4.792540254e-10
0.0052,1.370883024e-18,5.089248124e-07,4.806800513e-10
0.0053,5.997163283e-19,5.095090366e-07,4.812470422e-10
0.0054,-1.711969198e-19,5.092060353e-07,4.809529996e-10
0.0055,-1.708053714e-19,5.080170382e-07,4.797992004e-10
0.0056,1.37193605e-18,5.059463685e-07,4.777900853e-10
0.0057,1.372892873e-18,5.030014265e-07,4.749335369e-10
0.0058,-1.67794741e-19,4.991926634e-07,4.712404356e-10
0.0059,-1.661728346e-19,4.945335443e-07,4.667247144e-10
0.006,-1.644360558e-19,4.890405005e-07,4.61403582e-10
0.0061,-1.622842473e-19,4.827328717e-07,4.552972444e-10
0.0062,-1.59864991e-19,4.756328376e-07,4.484285721e-10
0.0063,-1.572343477e-19,4.677653404e-07,4.408234888e-10
0.0064,6.164940727e-19,4.591579967e-07,4.325104164e-10
0.0065,6.197483773e-19,4.498410008e-07,4.235204965e-10
0.0066,-1.478276704e-19,4.398470188e-07,4.138871468e-10
0.0067,6.266393331e-19,4.29211074e-07,4.036462276e-10
0.0068,6.303968714e-19,4.179704242e-07,3.928355974e-10
0.0069,-1.365876918e-19,4.061644312e-07,3.814951688e-10
0.007,-1.323359481e-19,3.938344228e-07,3.696664641e-10
0.0071,-1.279868374e-19,3.810235486e-07,3.573929486e-10
0.0072,-1.236640041e-19,3.677766285e-07,3.447191976e-10
0.0073,6.519369758e-19,3.541399958e-07,3.316913411e-10
0.0074,6.566270261e-19,3.401613359e-07,3.183563413e-10
0.0075,-1.095255843e-19,3.258895188e-07,3.04762271e-10
0.0076,-1.046593469e-19,3.113744286e-07,2.909578134e-10
0.0077,-9.966122903e-20,2.966667889e-07,2.769921514e-10
0.0078,-9.471050133e-20,2.81817986e-07,2.629147455e-10
0.0079,-8.970397117e-20,2.668798888e-07,2.487754447e-10
0.008,6.862914805e-19,2.519046681e-07,2.346237649e-10
0.0081,-7.961257376e-20,2.36944614e-07,2.205092775e-10
0.0082,-7.466465835e-20,2.220519538e-07,2.064810545e-10
